epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1025.82,0.4807,0.30038,1.00041,0.99895,0.91209,0.98565,0.9075,0.56377,0.44879,1.01825,0.000848969,0.000848969,0.000848969
43,1051.32,0.4778,0.29343,0.99676,0.99612,1,0.995,0.92164,0.53168,0.27309,0.96997,0.000834822,0.000834822,0.000834822
44,1076.3,0.46966,0.29634,0.98737,0.98884,1,0.995,0.89039,0.59166,0.28253,1.11722,0.000820675,0.000820675,0.000820675
45,1101.3,0.46549,0.28896,0.98606,0.97389,0.91573,0.99223,0.87991,0.57204,0.32041,1.12342,0.000806528,0.000806528,0.000806528
46,1125.62,0.46865,0.29078,0.99097,0.98883,1,0.995,0.87857,0.59742,0.2997,1.17881,0.00079238,0.00079238,0.00079238
47,1150.1,0.46619,0.28759,0.98748,0.99186,1,0.995,0.8714,0.54609,0.27331,1.12302,0.000778233,0.000778233,0.000778233
48,1174.03,0.46276,0.28613,0.98505,0.99416,0.91133,0.92572,0.85664,0.60239,0.50391,1.12249,0.000764086,0.000764086,0.000764086
49,1198.25,0.46803,0.28679,0.98849,0.99212,0.91232,0.995,0.8753,0.59323,0.34166,1.14649,0.000749939,0.000749939,0.000749939
50,1223.23,0.46213,0.28529,0.98371,0.99884,0.91209,0.97298,0.88234,0.58614,0.39963,1.11235,0.000735792,0.000735792,0.000735792
51,1247.14,0.45562,0.27961,0.98638,0.99873,0.91209,0.97574,0.88947,0.586,0.45907,1.08528,0.000721645,0.000721645,0.000721645
52,1270.98,0.4531,0.27814,0.98333,0.9981,0.91209,0.97517,0.88148,0.64244,0.45975,1.14887,0.000707498,0.000707498,0.000707498
53,1296.02,0.45292,0.27461,0.98696,0.99798,0.91233,0.995,0.90282,0.55518,0.38737,1.00454,0.000693351,0.000693351,0.000693351
54,1320.19,0.44802,0.27361,0.98054,0.98548,0.91209,0.92327,0.8637,0.48923,0.43196,0.96973,0.000679204,0.000679204,0.000679204
55,1344.65,0.451,0.27798,0.98063,0.99724,0.91209,0.9325,0.87404,0.56773,0.55616,1.06163,0.000665057,0.000665057,0.000665057
56,1368.94,0.44547,0.26668,0.97901,0.99867,0.91209,0.97406,0.88553,0.55853,0.42307,0.99454,0.000650909,0.000650909,0.000650909
57,1393.2,0.44587,0.27144,0.97857,0.9981,0.91209,0.97351,0.87784,0.58016,0.39197,1.03963,0.000636762,0.000636762,0.000636762
58,1417.49,0.44894,0.2706,0.98118,0.9969,0.91209,0.96022,0.87953,0.54013,0.54273,0.99041,0.000622615,0.000622615,0.000622615
59,1441.83,0.44747,0.27232,0.97725,0.99724,0.91209,0.92679,0.86669,0.4974,0.56338,0.94981,0.000608468,0.000608468,0.000608468
60,1466.31,0.44159,0.27048,0.9771,0.99861,0.91209,0.94308,0.87543,0.51238,0.51129,0.96812,0.000594321,0.000594321,0.000594321
61,1490.69,0.45038,0.26637,0.98182,0.99876,0.91209,0.99049,0.92953,0.46312,0.46848,0.93378,0.000580174,0.000580174,0.000580174
62,1514.88,0.45215,0.2663,0.9811,0.99863,0.91209,0.94744,0.8897,0.62685,0.58032,1.1279,0.000566027,0.000566027,0.000566027
63,1539.18,0.44032,0.26043,0.97548,0.99859,0.91209,0.93898,0.88625,0.57719,0.43624,1.10274,0.00055188,0.00055188,0.00055188
64,1563.5,0.44253,0.25719,0.97438,0.99844,0.91209,0.93051,0.87155,0.66516,0.62702,1.14639,0.000537733,0.000537733,0.000537733
65,1587.89,0.43253,0.25784,0.97105,0.99837,0.91209,0.93487,0.88136,0.60464,0.54854,1.13084,0.000523586,0.000523586,0.000523586
66,1612.12,0.4264,0.25182,0.97263,0.99853,0.91209,0.92373,0.87109,0.55235,0.57514,1.0295,0.000509438,0.000509438,0.000509438
67,1637.09,0.43298,0.25248,0.97402,0.99832,0.91209,0.96022,0.88858,0.52566,0.40904,0.98092,0.000495291,0.000495291,0.000495291
68,1662.13,0.42753,0.25643,0.96994,0.99803,0.91209,0.96272,0.88663,0.5659,0.55962,1.00604,0.000481144,0.000481144,0.000481144
69,1686.67,0.42229,0.25116,0.96999,0.99878,0.91209,0.98964,0.92345,0.4714,0.40189,0.94858,0.000466997,0.000466997,0.000466997
70,1711.11,0.43452,0.2484,0.97913,0.99875,0.91209,0.9872,0.88478,0.51661,0.44525,0.99756,0.00045285,0.00045285,0.00045285
71,1735.36,0.42469,0.2491,0.96867,0.99885,0.91209,0.99314,0.91099,0.51248,0.32799,0.98852,0.000438703,0.000438703,0.000438703
72,1759.49,0.41887,0.24724,0.97107,0.99851,0.91192,0.988,0.90359,0.52247,0.5,0.97897,0.000424556,0.000424556,0.000424556
73,1783.73,0.41092,0.24574,0.9588,0.9986,0.91209,0.98069,0.92307,0.47491,0.40835,0.95422,0.000410409,0.000410409,0.000410409
74,1807.96,0.41836,0.24843,0.96368,0.99707,0.91209,0.99223,0.89956,0.55608,0.37702,1.03657,0.000396262,0.000396262,0.000396262
75,1832.09,0.41956,0.24374,0.96575,0.99837,0.91209,0.97691,0.89795,0.55817,0.33158,1.04813,0.000382115,0.000382115,0.000382115
76,1856.14,0.41621,0.24167,0.9621,0.99802,0.91283,0.995,0.89842,0.59548,0.3949,1.12831,0.000367967,0.000367967,0.000367967
77,1880.54,0.41225,0.24247,0.96588,0.99843,0.91209,0.99049,0.89966,0.55226,0.41508,1.03698,0.00035382,0.00035382,0.00035382
78,1904.81,0.41691,0.24276,0.96685,0.99836,0.91209,0.99406,0.90735,0.54475,0.32088,1.04497,0.000339673,0.000339673,0.000339673
79,1929.29,0.41326,0.23677,0.96168,0.98851,1,0.995,0.93007,0.44753,0.25371,0.93803,0.000325526,0.000325526,0.000325526
80,1953.61,0.40803,0.23453,0.96445,0.99829,0.91209,0.99314,0.90677,0.53564,0.45047,1.0248,0.000311379,0.000311379,0.000311379
81,1977.83,0.39799,0.22861,0.95881,0.99865,0.91209,0.99223,0.89845,0.61408,0.47221,1.14892,0.000297232,0.000297232,0.000297232
82,2001.97,0.40556,0.22992,0.95551,0.9984,0.91238,0.995,0.89071,0.61226,0.3821,1.19216,0.000283085,0.000283085,0.000283085
83,2026.24,0.40217,0.22788,0.95987,0.98811,0.91565,0.995,0.92727,0.46831,0.31446,0.94442,0.000268938,0.000268938,0.000268938
84,2050.49,0.39496,0.22237,0.952,0.99825,0.91287,0.995,0.91962,0.49009,0.31247,0.96633,0.000254791,0.000254791,0.000254791
85,2074.73,0.39538,0.22477,0.95622,0.99756,0.91209,0.94744,0.89139,0.44872,0.44428,0.94404,0.000240644,0.000240644,0.000240644
86,2098.87,0.40141,0.23218,0.96251,0.99811,0.91209,0.99314,0.92977,0.43579,0.39989,0.92861,0.000226497,0.000226497,0.000226497
87,2123.17,0.39906,0.23294,0.95743,0.98795,0.91561,0.995,0.93181,0.44319,0.40723,0.92713,0.000212349,0.000212349,0.000212349
88,2147.31,0.39041,0.22504,0.95136,0.98321,0.91209,0.99406,0.92492,0.45762,0.39139,0.93718,0.000198202,0.000198202,0.000198202
89,2171.54,0.39375,0.22634,0.95648,0.98791,0.91561,0.995,0.93505,0.44465,0.29985,0.93027,0.000184055,0.000184055,0.000184055
90,2195.76,0.39193,0.22041,0.95381,0.98819,0.91568,0.995,0.92488,0.4606,0.27625,0.94285,0.000169908,0.000169908,0.000169908
91,2238.02,0.34821,0.1713,0.94149,0.9867,1,0.995,0.92393,0.48442,0.31496,0.95203,0.000155761,0.000155761,0.000155761
92,2261.93,0.34644,0.16835,0.942,0.98215,1,0.995,0.91394,0.46953,0.26798,0.93658,0.000141614,0.000141614,0.000141614
93,2286,0.34104,0.16443,0.93641,0.98522,1,0.995,0.92604,0.48848,0.30382,0.9619,0.000127467,0.000127467,0.000127467
94,2312.24,0.33848,0.16397,0.92683,0.99796,1,0.995,0.92988,0.49427,0.257,0.95956,0.00011332,0.00011332,0.00011332
95,2337.71,0.33717,0.16147,0.9318,0.99321,1,0.995,0.92112,0.51998,0.30236,0.98844,9.91726e-05,9.91726e-05,9.91726e-05
96,2363.97,0.33594,0.16188,0.93189,0.98703,1,0.995,0.91507,0.52419,0.37283,0.9917,8.50255e-05,8.50255e-05,8.50255e-05
97,2387.91,0.33214,0.1591,0.92853,0.99158,1,0.995,0.91046,0.53721,0.30266,1.00011,7.08784e-05,7.08784e-05,7.08784e-05
98,2412.33,0.32982,0.15796,0.92955,0.99099,1,0.995,0.91845,0.4965,0.27742,0.9505,5.67313e-05,5.67313e-05,5.67313e-05
99,2437.13,0.32833,0.15695,0.92729,0.99063,1,0.995,0.92161,0.48561,0.37704,0.95511,4.25842e-05,4.25842e-05,4.25842e-05
100,2461.66,0.32564,0.15501,0.92914,0.98799,1,0.995,0.92132,0.50483,0.39917,0.98019,2.84371e-05,2.84371e-05,2.84371e-05
